Indicator Name,Value
"Outward Direct Investment Assets Positions (Gross) with Fellow Enterprises, Derived",7830612.90878126
"Outward Direct Investment Positions (Net) with Fellow Enterprises, Derived",851000
"Outward Direct Investment Positions (Net) with Fellow Enterprises, Derived",26895.769647964
"Outward Direct Investment Positions (Net) with Fellow Enterprises, Derived",27116.248815715
"Outward Direct Investment Positions (Net) with Fellow Enterprises, Derived",8606335.92413437
"Outward Direct Investment Positions (Net) with Fellow Enterprises, Derived",45719923.9575154
"Outward Direct Investment Positions (Net) with Fellow Enterprises, Derived",44864903.9454658
"Outward Direct Investment Positions (Net) with Fellow Enterprises, Derived",1225012.91989664
"Outward Direct Investment Positions (Net) with Fellow Enterprises, Derived",4210131.33208255
"Outward Direct Investment Positions (Net) with Fellow Enterprises, Derived",7811860.1580589
"Outward Direct Investment Positions, Derived",211011600
"Outward Direct Investment Positions, Derived",201030185.064935
"Outward Direct Investment Positions, Derived",230590329.990651
"Outward Direct Investment Positions, Derived",251723340.079402
"Outward Direct Investment Positions, Derived",258325047.33773
"Outward Direct Investment Positions, Derived",218018029.882492
"Outward Direct Investment Positions, Derived",222891289.618853
"Outward Direct Investment Positions, Derived",262032276.72852
"Outward Direct Investment Positions, Derived",250191902.499484
"Outward Direct Investment Positions, Derived",227361653.74677
"Outward Direct Investment Positions, Derived",217714613.299979
"Outward Direct Investment Positions, Derived",207494785.587172
Inward Direct Investment Positions,-6000000
Inward Direct Investment Positions,-8000000
Inward Direct Investment Positions,-10000000
Inward Direct Investment Positions,-5000000
Inward Direct Investment Positions,-4000000
Inward Direct Investment Positions,2000000
Inward Direct Investment Positions,1000000
Inward Direct Investment Positions,19000000
Inward Direct Investment Positions,17000000
Inward Direct Investment Positions,13000000
Inward Direct Investment Positions,14000000
"Outward Debt Instruments Assets Positions (Gross), Derived",623463687.150838
"Outward Debt Instruments Assets Positions (Gross), Derived",868156424.581006
"Outward Debt Instruments Assets Positions (Gross), Derived",1250279329.60894
"Outward Debt Instruments Assets Positions (Gross), Derived",907821229.050279
"Outward Debt Instruments Assets Positions (Gross), Derived",963128491.620112
"Outward Debt Instruments Assets Positions (Gross), Derived",748044692.73743
"Outward Debt Instruments Assets Positions (Gross), Derived",670558659.217877
"Outward Debt Instruments Positions (Net), Derived",600558659.217877
"Outward Debt Instruments Positions (Net), Derived",855307262.569832
"Outward Debt Instruments Positions (Net), Derived",1164804469.27374
"Outward Debt Instruments Positions (Net), Derived",822346368.715084
"Outward Debt Instruments Positions (Net), Derived",943966480.446927
"Outward Debt Instruments Positions (Net), Derived",729608938.547486
"Outward Debt Instruments Positions (Net), Derived",652011173.184358
"Outward Debt Instruments Positions (Net), Derived",661620111.731844
"Outward Debt Instruments Positions (Net), Derived",613016759.776536
"Outward Debt Instruments Positions (Net), Derived",649497206.703911
"Outward Debt Instruments Positions (Net), Derived",538268156.424581
"Outward Debt Instruments Positions (Net), Derived",560726256.98324
